full_text,ner
 طريق حوارة سالكه داخل وخارج وفش جيش,Barr B-LOC STAT O O O B-ORG
 صرة سالكة,B-LOC STAT
 ازمه,STAT
 شارع حوارة للداخل نابلس ازمه خانقه,O B-LOC O O STAT O
 طريق رام الله سالكه حادث,Barr O O STAT O
 حواره سالكه وحركة السير عاديه,B-LOC STAT O O O
 دوار يتسهار سالك,Barr B-LOC STAT
 مخصوم حواره فاضي,Barr B-LOC STAT
 سلكت الساوية,O O
 صره سالك,B-LOC STAT
مرحبا ،شو وضع صره؟ سالكه بالاتجاهين هسا مرقت,O O O B-LOC STAT O O O
 موجز أخبار الساعة القدس المحتلةخطيب المسجد الأقصى، الشيخ عكرمة صبري المسجد الأقصى يخضع لمشاورات لمفاوضات لتنسيقات لمساومات قوات الاحتلال تعتقل الشابين ساهر السلايمة وآدم منصور السلايمة بلدة الرام القدس قوات الاحتلال تعتقل فتى المواجهات المستمرة بلدة الرام القدس قوات الاحتلال تعتقل الشاب عمر زغير منطقة باب الأسباط بالقدس المحتلة الضفة الغربية وزارة الصحة إصابة شبان فلسطينيين برصاص قوات الاحتلال الإسرائيلي ورابع بالرصاص المعدني المغلف بالمطاط المواجهات المندلعة بلدة بيت أمر بالخليل اندلاع مواجهات الاحتلال منطقة باب الزاوية بالخليل قوات الاحتلال تعتدي فلسطينيين مشاركتهم مسيرة ضد بؤرة استيطانية جديدة أراضي اللبن الغربي رام الله قوات الاحتلال تقمع مسيرة بيت دجن الأسبوعية، نابلس اندلاع مــواجـــهات شبان وقوات الاحتلال بلدة عزون قلقيلية دعوات للمشاركة الوقفة الاحتجاجية الرافضة لعقد لقاء شرم الشيخ، يوم الأحد دوار المنارة وسط رام الله عربي ودولي القنصلية البريطانية القدس ندعو إسرائيل إجراء تحقيق شفاف بشأن التوغل الإسرائيلي جنين إعلام الاحتلال يسرائيل هيوم المناقشة أجرتها الشرطة الإسرائيلية الأسبوع الماضي برئاسة الوزير غفير والمفتش يعقوب شبتاي استعدادا رمضان، قال ضباط الشرطة المناقشة يحاولون رمضان تقليص تواجد قواتها الأنشطة العادية، يتسببوا إشعال المنطقة غضب غفير ذلك، وقال المعقول يتم يديعوت أحرونوت مصدر وزارة الجيش أخذوا سموتريتش منصبه وزارة الجيش بسبب تصريحات أخرى محو حوارة خلاف نتنياهو، سيفكك الحكومة تردد نبض الضفة نحكي هموم الوطن تابعونا عبر تليجرام,O O O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC O O O O O O O O B-LOC O O O O O O O O O O O O O O B-LOC O O O I-ORG O O O I-ORG O O O O O O O O B-LOC O O O O O O O O O O O O I-ORG O O O O O O O I-LOC O O O O O O O B-LOC I-LOC O O O O O O O O O O O O O O O O O O O O O Barr O O O O O O O O O O I-ORG O O O O O I-ORG O O O I-ORG O O O B-ORG I-ORG O O O O O O O O O O O O B-ORG O O O O O O O O O O O O O O O O B-LOC O O O B-LOC B-ORG O O O B-LOC B-ORG O O O O B-LOC O O O O O O O O O O O O O
 شفي شمرون سالك,B-LOC I-LOC STAT
 صرة سالك,B-LOC STAT
مرحبا شافي شمرون سالك,O B-LOC I-LOC STAT
 نص طريق رام اللع سالكةفي حادث مدخل قبلان,O Barr O O STAT O O O
 بيت ايل الطريق سالكه,B-LOC I-LOC Barr STAT
 سالكة,STAT
تحياتيشو وضع حواره للي فايت عنابلس ؟ سالكة,O O B-LOC O O B-LOC O STAT
 دير شرف وشافي شمرون سالكات,B-LOC I-LOC B-LOC I-LOC STAT
؟ سالك,O STAT
 حاجز جيت صرة نابلس حاليا سالك بالاتجاهين,Barr B-LOC B-LOC O O STAT O
حاجز جيت صرة نابلس حاليا سالك بالاتجاهين بوركت جهودك,Barr B-LOC B-LOC O O STAT O O O
طريق جنين رامالله حوارة زعترة سالكة,Barr O O B-LOC B-LOC STAT
رام الله لنابلس الطرق سالكة,O O O O STAT
 طريق نابلس طولكرم سالكه ميه يالميه,Barr O O STAT O O
 رسالة مهمة جداً للمسلحين ابنالخليل,STAT O O O O
شباب طريق طولكرم رام الله ويتسهار جيت سالكة,O Barr O O O B-LOC B-LOC STAT
 شباب سؤال حدا مروح رام الله لطولكرم,O O O O O O O
 العبيدية ازمة,B-LOC STAT
شو وضع حومش؟ حومش سالك,O O O O STAT
وشافي شمرونز سالك,B-LOC I-LOC STAT
شباب مسا الخير طريق صرة جيت صرة نابلس سالك بالاتجاهين,O O O Barr B-LOC B-LOC B-LOC O STAT O
 بيت ايل مسكر؟؟؟؟,B-LOC I-LOC O
شكرا انا رحت طريق الجلزونبالسلامة للجميع,O I-LOC O Barr O O
 حاجز بيت ايل بوابة الجلزون مغلقات بشكل كامل,Barr B-LOC I-LOC O B-LOC STAT O O
 جلزون مفتوحه مرقنا,B-LOC STAT O
صره كيف؟ سالك,B-LOC O STAT
سالك صرة حاجز,STAT B-LOC Barr
 الطريق مغلق اتجاه بيتين الدوار مفتوح باتجاه ,Barr STAT O O Barr STAT O
رام الله ارائيل الطريق سالك,O O B-LOC Barr STAT
 استنفار امني كبير حاجز وانباء حدث امني,O O O Barr O O O
 الحلزون مفتوح ازدحام بسيط بالاتجاهين,O STAT O O O
زعتره لحواره سالكة,B-LOC O STAT
 حاجز,Barr
 فاتح,STAT
رام الله نابلس كيف؟ رام الله مسكره,O O O O O O STAT
 بيت ايل مغلق,B-LOC I-LOC STAT
شو وضع طريق الرام قلنديا سالك,O O Barr B-LOC B-LOC STAT
 مسكره,STAT
يعني نرجع ذيسو مسكر ؟ مسكر,O O O STAT O STAT
يعني نرجع ذيسو مسكر ؟ اه مغلق,O O O STAT O O STAT
 ماعندي علم بعتذر حوارة حركة طبيعية وسالكة,O O O B-LOC O O STAT
قلنديا ؟؟ سالك,B-LOC O STAT
 بالسلامة حبيبنا,O O
 بيت ايل ازمه,B-LOC I-LOC STAT
 زعتره للداخل عنابلس وحواره؟؟,B-LOC O B-LOC O
 بيت ايل ازمة خانقة يبدو الان مغلق,B-LOC I-LOC STAT O O O STAT
كبف الطريق الفندق لنابلس يجماعه ؟؟ سالك,O Barr B-LOC O O O STAT
بيت ايل ازمة خانقة يبدو الان مغلق عملية متل بحكو انا كنت,B-LOC I-LOC STAT O O O STAT O B-LOC O I-LOC O
 حاجز بيت ايل مفتوحة الطريق الجديدة,Barr B-LOC I-LOC STAT Barr O
 حاجز الحمرا تفتيش دقيق,Barr B-LOC STAT O
 دوار سلمان الفارسي سالك الاتجاهات ونظيف كامل خط يتسهار سالك ونظيف,Barr B-LOC I-LOC STAT O STAT O O B-LOC STAT STAT
 بيت ايل مغلق,B-LOC I-LOC STAT
 فاتح,STAT
 بيت ايل مغلق,B-LOC I-LOC STAT
شو وضع بيت ايل يا جماعه مسكرة,O O B-LOC I-LOC O O STAT
 اناا بيت ايل فاتح عادي وسالك,O B-LOC I-LOC STAT O STAT
 ازمة عشان بشتغلو باشارع,STAT O O O
اناا بيت ايل فاتح عادي وسالك يمكن فتح ماكل زفت,O B-LOC I-LOC STAT O STAT O STAT O O
 يبت ايل تم فتحوه,O I-LOC O O
 حاجز صرة وقوف تام,Barr B-LOC O O
اناا بيت ايل فاتح عادي وسالك هسا مسكرة عملية,O B-LOC I-LOC STAT O STAT O STAT O
 دوار قدوميم سالك ونظيف,Barr B-LOC STAT STAT
 حاجز صرة الداخل سالك والخارج وقوف تام,Barr B-LOC O STAT O O O
 حوارة ازمة,B-LOC STAT
 فتح بيت ايل,STAT B-LOC I-LOC
يا اخوان شو وضع زعتره وحواره زعترة سالك حوارة سالك وشارع حوارة ازمة حادث,O O O O B-LOC O B-LOC STAT B-LOC STAT O B-LOC STAT O
 حاجز صره للداخل,Barr B-LOC O
 فاتح,STAT
 مستوطين باب مدخل سنجل,B-ORG O O O
 مولعين عجال,O O
 حاجز الحمرة ازمه,Barr B-LOC STAT
 كامل خط يتسهار سالك ونظيف دوار سلمان الفارسي سالك الاتجاهات,O O B-LOC STAT STAT Barr B-LOC I-LOC STAT O
المربعة اخي؟؟ اخر تحديث سالكة,B-LOC O O O STAT
 طريق نابلس رام الله سالكه,Barr O O O STAT
 العيزريه ازمه للي نازل باتجاه المعاليه,B-LOC STAT O O O O
 طريق نابلس رام الله سالكه,Barr O O O STAT
 طريق نابلس رام الله سالكه,Barr O O O STAT
 مسكرين طريق,STAT Barr
طريق نابلس رام الله سالكه مين حكالك سالكة هيني سجل ومسكرة الجيش,Barr O O O STAT O O STAT O O STAT B-ORG
 فاتحه,STAT
 سنجل مستوطنين وضرب حجار,O B-ORG O O
 بيت ايل مغلق,B-LOC I-LOC STAT
بيت ايل مغلق فاتح,B-LOC I-LOC STAT STAT
 تسكير سنجل,O O
 سنجل مسكر,O STAT
 ليش سنجل مسكرا,O O STAT
ليش سنجل مسكرا مستوطنين,O O STAT B-ORG
 سنجل مسكر شباب,O STAT O
 سنجل عيون الحراميه مسكره رام الله,O O O STAT O O
 مدخل سنجل ينزلك البن,O O O I-LOC
 دير شرف سالكة اسعافات اشي,B-LOC I-LOC STAT O STAT
 هيني فل ازمه,O O STAT
طريق بديل لدخول عرام الله ؟ الي بوصل سنجل وبدو يطلع رام لله يدخل سنجل طريق عبوين وروابي,Barr O O O O O O O O O O O O O O Barr O O
مدخل سنجل ينزلك البن مسكرين مدخل غلق,O O O I-LOC STAT O STAT
طريق بديل سنجل للي بده يروح رام الله عنابلس ؟ الي بوصل سنجل وبدو يطلع رام لله يدخل سنجل طريق عبوين وروابيالاشارة,Barr O O O O O O O B-LOC O O O O O O O O O O Barr O O
 الى مهندسين افضل طريقة لتنفيس عجال الدراجات بظل ال الحارات,O O O Barr O O O O I-LOC O
رامالله نابلس سالكة؟ سنجل مسكره,O O STAT O STAT
مسكر فتحوه,STAT O
الوضع بيت ايل؟ فتح الحاجز,O B-LOC I-LOC STAT Barr
طب الي يدو يروح نابلس وانا سنجل وين الف مفرق ترمسعيا فوت وضل ماشي دغري,O O O O O O O O O O B-LOC O O STAT O
شباب طريق نابلسرام الله حاليه سنجل جلجليا عبوين عاروره عجول روابي مش مدخل سنجل الاول التاني فوت,O Barr O O O O O O O O O O O O O O O
ضرووري سالكة,O STAT
مش مدخل سنجل الاول التاني فوت المدخل الشمالي,O O O O O O O O
 يتسهار سالكه,B-LOC STAT
 مسكرة,STAT
 عملية عبيت ايل مغلق,O B-LOC I-LOC STAT
 سنجل جبين جيش مسكرات الطريق وقبلها مستوطنين ليش مسكرين حد بعرف,O O B-ORG STAT Barr O B-ORG O STAT O O
عملية عبيت ايل مغلق فتح بيت ايل,O B-LOC I-LOC STAT STAT B-LOC I-LOC
 سالكات شي يتسهار وشافي شمرون,STAT O B-LOC B-LOC I-LOC
طريق يتسهار وشافي شمرون يتسهار سالكة,Barr B-LOC B-LOC I-LOC B-LOC STAT
 سنجل ازمه خانقه,O STAT O
 يتسهار سالكة,B-LOC STAT
 مداخل رام الله مغلقة,O O O STAT
 ازمة سنجل,STAT O
 سالمة يتسهار,STAT B-LOC
 داخل سنجل ازمه شديده,O O STAT STAT
 صره سالكة,B-LOC STAT
 مداخل مدينة رام الله مغلقة بالكامل وأزمة خانقة الحواجز,O O O O STAT O STAT O O
 سنجل مغلقه,O STAT
 تسكير باب سنجل,O O O
شباب حد عندو معلومات سنجل مسكره الطريق جبين جيش وازمه خانقه,O O O O O STAT Barr O B-ORG STAT O
 عيون الحراميه ازمه واقفه,O O STAT STAT
ال سالك؟؟ سالك,I-LOC STAT STAT
طريق جنين قلقيلية كيف؟؟؟ سالكة,Barr O O O STAT
طريق ترمسعيا المزرعة الشرقية حدا بعرف شو وضعها سالكه,Barr B-LOC B-LOC O O O O O STAT
 طريق سنجل مسكر,Barr O STAT
 بيت ايل سالك,B-LOC I-LOC STAT
 الجيش بدورو الاراضي وبضوو,B-ORG O O O
 حاجز ترمسعيا عيون الفدائيه توقف تام,Barr B-LOC O O STAT O
 طريق عبيديه ازمه خانقه,Barr O STAT O
 مدخل سنجل,O O
وين هاد عبعد عيون الحراميه,O O O O O
بيت لحم الى نابلس الطريق ؟ عبيديه ازمه اخر معلومه وصلت,B-LOC O O O Barr O O STAT O O O
 شارع رام الله نابلس ألسير واقف,O O O O O STAT
 مستوطنين بضربو حجار,B-ORG O O
 حواره زعتره سالكه فش اشب,B-LOC B-LOC STAT O O
حوارة شو وضعها حوارة سالكة ازمة بسبب حادث سير البلد,B-LOC O O B-LOC STAT STAT O O O O
 وصلني الان مفرق سنجل مغللق,O O O O STAT
نازل رام الله اي طريق الطريق سالكه,O O O I-LOC Barr Barr STAT
 سالكه,STAT
 يا جماعه كلشي فاتح بالطرق الا طريق سنجل عيون الحرامية مغلق تماماً,O O O STAT O O Barr O O O STAT O
 جيش مسكر الطريق سنجل والسير واقف الكل بلف عبوين,B-ORG STAT Barr O O STAT O O O
 زعترة حوارة شارع القدس سالك,B-LOC B-LOC O O STAT
حوارة؟ سالك,B-LOC STAT
حواره سالك كانت طالعين رام الله قطعنا زعترة,B-LOC STAT O O O O O B-LOC
 سنجل سالكة,O STAT
سنجل سالكة انو سالكة,O STAT O STAT
حد المشرفين يقبعو نزل خبر وشرد انضرب قدامي حجار سنجل مستوطنين شباب ابصر ضرب حجار نص ساعه,O O O O O O O O O O B-ORG O O O O O O
سنجل سالكة انت مريتي هسه؟,O STAT O O O
 شباب طريق لطلعة رام الله سالكة,O Barr O O O STAT
 انا سنجل مسكرة,I-LOC O STAT
 انا بالزبط بالطريق مدخل سنجد السير واقف باتجاه رام الله,I-LOC O O O O O STAT O O O
 ازمة خانقه عاى مفرق سنجل وطريق نابلس ىام تدالله,STAT O O O O Barr O O O
 باتجاه نابلس سالك,O O STAT
 حاجز جيش,Barr B-ORG
 انا سنجل وشايف ازمه,I-LOC O O STAT
حاجز جيش صحيح ازمه,Barr B-ORG O STAT
 الحاجز فتح علشان هيك الازمة,Barr STAT O O STAT
 ترمس عيه فاتحة اشي المستوطنه,O O STAT STAT B-ORG
 العبيدية ازمه والعيزرية كمان,B-LOC STAT B-LOC O
 عيون الحرامية مسكر,O O STAT
ترمس عيه فاتحة اشي المستوطنه وسنجل,O O STAT STAT B-ORG O
 لاء سالكه هسا بمشي السير,O STAT O O O
 سالكه,STAT
لاء سالكه هسا بمشي السير الكل بحكيلي لق وارجع,O STAT O O O O O O O
 مسكر,STAT
بدي الف وارجع طريق واد قانا لع يزلمه هيني صرت عيلي سالكه,O O O Barr B-LOC I-LOC O O O O O STAT
شباب شو بالطريق عيون الحراميه سلكت,O O O O O O
 حوارة سالك,B-LOC STAT
 طريق جنين حومش دير شرف يتسهار حوارة زعترة سالك بسهولة نصف,Barr O O B-LOC I-LOC B-LOC B-LOC B-LOC STAT STAT O
 يتسهار سالك,B-LOC STAT
 يعني لسا مسكرة,O O STAT
 حاجز حوارة سالك ونظيف تواجد لقوات الاحتلال فى الساحة قرب الحاجز,Barr B-LOC STAT STAT O O O O O O Barr
 ازمه مرتبه,STAT B-LOC
شبابا يلي بدو يروح رام الله للساويه ؟ سالكة,O O O O O O O O STAT
 سالكه,STAT
 زعترة سالك,B-LOC STAT
 ازمه,STAT
 سلكت َولا لسا ازمة,O O O STAT
 سنجل سالك,O STAT
 زعتره سالك,B-LOC STAT
 عيون الحراميه سالكه,O O STAT
 سالكه لاء,STAT O
 سنجل سالكه,O STAT
 سالكه سنجل مرينا دقيقتين,STAT O O O
 سنجل سالكة,O STAT
 كانت مسكرة وفتحت,O STAT O
 ازمه وماشيه يخوان سنجل,STAT STAT O O
الطريق اريحا لرام الله ؟؟ انا صرت اشارات ال لحد الان سالكة طلعت ربع,Barr O B-LOC O O I-LOC O O I-LOC O O STAT O I-LOC
سالكه سنجل مرينا دقيقتين للي رايح باتجاه رام الله سالكة العكس، يا ريت تفيدونا,STAT O O O O O O O O STAT O O O O
للي رايح باتجاه رام الله سالكة العكس، يا ريت تفيدونا اتجاه رام الله ول عكس سالمه,O O O O O STAT O O O O O O O O O O
 رام الله لنابلس سالكه,O O O STAT
رام الله لنابلس سالكه سالكه ميه لميه,O O O STAT STAT O O
 كامل خط يتسهار سالك ونظيف,O O B-LOC STAT STAT
 ازمة خانقة قرية عبوين,STAT O O O
 سنجل سالك,O STAT
الطريق اريحا الى رام اللله سالكه,Barr O O O O STAT
سنجل سالك سالك,O STAT STAT
يسعد مساكم حوارة ؟ سالك,O O B-LOC O STAT
 فاتح,STAT
فاتح بتسأل بتخبر؟,STAT O O
 طريق عيون الحرامية بيرزيت سالكة رام الله,Barr O O O STAT O O
طريق عيون الحرامية بيرزيت سالكة رام الله سالكه,Barr O O O STAT O O STAT
 ياخوان صرلي ساعه بحكي سالكه,O O O O STAT
 شباب طريق سنجل فاتحه,O Barr O STAT
شباب طريق سنجل فاتحه فاتحه اه,O Barr O STAT STAT O
 طريق سنجل فاتحة,Barr O STAT
 طريق عيون الحرامية سالكة,Barr O O STAT
طريق رام الله سالكة,Barr O O STAT
 صرة سالكة دخول وخروج,B-LOC STAT O O
 سلكت الطريق سنجل,O Barr O
الطريق سنجل لنابلس سالكة,Barr O O STAT
 حاجز صرة سالك ونظيف,Barr B-LOC STAT STAT
 سنجل فتحت؟؟؟؟,O O
سنجل فتحت؟؟؟؟ اه فاتحع,O O O STAT
 الطريق سالكة مفرق صرة يتسهار الى حوارة,Barr STAT O B-LOC B-LOC O B-LOC
 زعترة سالك,B-LOC STAT
؟؟؟؟؟ يا راجل بدك تسألالجواب سؤالك غلب حالك ثواني,O O O O O STAT O O O
 ال للداخل رام الله ازمه عمال بشتغلو,I-LOC O O O STAT O O
طريق زعتره حواره الوضع سالكة,Barr B-LOC B-LOC O STAT
 حاجز صرة سالك ونظيف دوار قدوميم سالك تواجد لجب همر,Barr B-LOC STAT STAT Barr B-LOC STAT O O O
 حواره فاتح للجهتين,B-LOC STAT O
 شافي شمرون ازمه,B-LOC I-LOC STAT
 هينا ال سالكة,O I-LOC STAT
 الان بيت ايل سالكة,O B-LOC I-LOC STAT
 طريق السلامة للجميع,Barr O O
مشاكل عطريق حوارة زعتره اشي ؟ زعترة سالك,O Barr B-LOC B-LOC STAT O B-LOC STAT
 كامل خط يتسهار سالك ونظيف دوار سلمان الفارسي سالك الاتجاهات ونظيف,O O B-LOC STAT STAT Barr B-LOC I-LOC STAT O STAT
شباب زعتره ؟ سالكة,O B-LOC O STAT
سنجل شو وضعها سالكة,O O O STAT
 كامل خط حوارة الرئيسي سالك,O O B-LOC O STAT
 يخوان طريق بيت ايل رام الله فاتحو,O Barr B-LOC I-LOC O O STAT
 أسعد الله أوقاتكم خير الكرام سبنجل وترمسعيا فاتحه وسالكه زعتره وحواره وحاجز حواره سالك دوار سلمان الفارسي مفرق جيت سالك دير شرف سالكه دير شرف سيلة الظهر سالكه,O O O O B-LOC O B-LOC STAT STAT B-LOC O Barr B-LOC STAT Barr B-LOC I-LOC O B-LOC STAT B-LOC I-LOC STAT B-LOC I-LOC O O STAT
 خط رام الله نابلس سالك بالاتجاهين,O O O O STAT O
 أسعد الله أوقاتكم خير يا محترمين سنجل وترمسعيا فاتحه وسالكه زعتره وحواره وحاجز حواره سالك دوار سلمان الفارسي مفرق جيت سالك دير شرف سالكه دير شرف سيلة الظهر سالكه,O O O O O O O B-LOC STAT STAT B-LOC O Barr B-LOC STAT Barr B-LOC I-LOC O B-LOC STAT B-LOC I-LOC STAT B-LOC I-LOC O O STAT
 بيت ايل فاتحه وسالكه,B-LOC I-LOC STAT STAT
 الحمرا سالك وفاتح,B-LOC STAT STAT
 عصيره الشماليه ال  سالك وفاتح,O O I-LOC STAT STAT
حوارة رام الله الطريق ؟ اقرأ اخي الكريم,B-LOC O O Barr O O O O
حوارة رام الله الطريق ؟ سالك يا حبيب الجيش موجود,B-LOC O O Barr O STAT O O B-ORG O
 نابلس طولكرم سالك,O O STAT
 نابلس قلقيليه سالك,O O STAT
 نابلس جنين سالك,O O STAT
 نابلس رام الله سالك,O O O STAT
 نابلس الحمرا أريحا سالك,O B-LOC O STAT
 سالكه حواره,STAT B-LOC
الدي سي او شباب ؟ رام الله فاتح ؟ سالك,O O O O O O O STAT O STAT
 حوارة سالكاريئل سالكواد قانا سالكشيلوا سالكعيون الحرامية سالكوالشوارع فاضية,B-LOC O O I-LOC O O O O STAT
 العكس اخي,O O
لل طالع رام الله لنابلس سالك؟ سالكة,O O O O O STAT STAT
شباب وضع الطريق نابلس للخليل سالكة,O O Barr O O STAT
 شكرا الكم,O O
شو وضع الطرق رام الله لنابلس سالكة,O O O O O O STAT
الطريق رام الله لطولكرم هسا جيت كانت سالكه,Barr O O O O B-LOC O STAT
 يسعد مساكم طريق يتسهار,O O Barr B-LOC
يسعد مساكم طريق يتسهار فاضيه,O O Barr B-LOC STAT
 حاجز صرة للخارج نابلس,Barr B-LOC O O
 عطاره لعيون الحراميه سالكه,O O O STAT
عطاره لعيون الحراميه سالكه سالكه ميه الميه,O O O STAT STAT O O
 حاجز الكونتينر ازمة خانقة,Barr B-LOC STAT O
 ترمسعيا سنجل سالك فاضيه الشوارع,B-LOC O STAT STAT O
 حاجز صرة الان,Barr B-LOC O
 شيلي وعيلي سالك,O O STAT
حاجز صرة الان جيش عصرة؟؟,Barr B-LOC O B-ORG O
 صره للخارج ازمه,B-LOC O STAT
صره فاتحه؟ حاجز وازمة وتفتيش,B-LOC STAT Barr STAT STAT
 الي داخل عنابلس صرة بحكو معو,O O B-LOC B-LOC O O
شو وضع دير شرف سالك,O O B-LOC I-LOC STAT
 زعتره سالك,B-LOC STAT
 جيت وكدوميم تواجد لسيارات شرطة,B-LOC B-LOC O O B-ORG
 جنود باب بيتا سالك الشارع اشي وحواره سالكه,O O B-LOC STAT O STAT O STAT
 الكونتينر سالك للطالع بيت لحم وللي داخل تفتيش سيارات وازمة خانقة,B-LOC STAT O B-LOC O O O STAT O STAT O
 حاجز جيت صرة نابلس حاليا حاجز للخارج نابلس,Barr B-LOC B-LOC O O Barr O O
 مفرق جيت سالك الاتجاهات,O B-LOC STAT O
 حاجز حوارة للخارج نابلس يا شباب,Barr B-LOC O O O O
 طريق يتسهار حواره لمفرق الطنيب سالكه,Barr B-LOC B-LOC O O STAT
يسعد مساكم يا اخوان حد يفيدنا كيق الوضع صره جيت صرة نابلس حاليا حاجز السيارات ماشية بوقفو السيارة الي بدهم اياها,O O O O O O O O B-LOC B-LOC B-LOC O O Barr O STAT O O O O O
طريق رام اله لمابلس زعترة؟ زعتره سالكه,Barr O O O B-LOC B-LOC STAT
 وسنجل كمان فاضيه,O O STAT
 شافي شمرون سالك بالاتجاهين تواجد للجنود,B-LOC I-LOC STAT O O O
 حاجز جيت صرة نابلس سالك بالاتجاهين حاليا,Barr B-LOC B-LOC O STAT O O
 سالك جنود المحسوم,STAT O Barr
رام الله طولكرم الطرق طريق رام الله جهة حاجز عطاره حاجز الطنيب سالكه,O O O O Barr O O O Barr O Barr O STAT
رام الله طولكرم الطرق سالكة,O O O O STAT
بيت ايل اشي سالكه,B-LOC I-LOC STAT STAT
 شرطه عدوار كدوميم للجهتين وبوقفو سيارات,B-ORG Barr B-LOC O O O
 حوارة وزعترة ساالكة,B-LOC B-LOC STAT
 ازمة عالكونتينر,STAT B-LOC
 حاجز شرطة دوار كدوميم,Barr B-ORG Barr B-LOC
 بوابة مادما فاتحة,O B-LOC STAT
بوابة مادما فاتحة مسكرة,O B-LOC STAT STAT
اذنكم حدا بعرف شو وضع بوابة تل المربعة فاتحة مسكرة مسكرة,O O O O O O B-LOC B-LOC STAT STAT STAT
سالكة يعني قبلان لطولكرم كمان سالكة اكيد؟,STAT O O O O STAT O
 ديرو بالكم,B-LOC O
 شرطه,B-ORG
اشي دوار قدوميم يكمن حاجز كانً شرطة,STAT Barr B-LOC O Barr O B-ORG
 مش متاكد بالزبط شرطه لء المهم حاجز,O O O B-ORG O O Barr
 اه شرطه,O B-ORG
 كمان زعترة سالكة,O B-LOC STAT
 شباب شرطه زعتره,O B-ORG B-LOC
فش اشي شرطه زعتره,O STAT B-ORG B-LOC
 دوار قدومين سيارتين شرطه وبدققو,Barr O O B-ORG O
الطريق جبع لنابلس سالكة,Barr B-LOC O STAT
 سيارتين شرطة كدوميم بالاتجاهين,O B-ORG B-LOC O
 صرة سالك بالاتجاهين,B-LOC STAT O
 يسعد مساكم يا شباب,O O O O
